Date,RegionName,DaysOnZillow_AllHomes,InventorySeasonallyAdjusted_AllHomes,InventoryRaw_AllHomes,MedianListingPricePerSqft_1Bedroom,MedianListingPricePerSqft_2Bedroom,MedianListingPricePerSqft_3Bedroom,MedianListingPricePerSqft_4Bedroom,MedianListingPricePerSqft_5BedroomOrMore,MedianListingPricePerSqft_AllHomes,MedianListingPricePerSqft_CondoCoop,MedianListingPricePerSqft_DuplexTriplex,MedianListingPricePerSqft_SingleFamilyResidence,MedianListingPrice_1Bedroom,MedianListingPrice_2Bedroom,MedianListingPrice_3Bedroom,MedianListingPrice_4Bedroom,MedianListingPrice_5BedroomOrMore,MedianListingPrice_AllHomes,MedianListingPrice_CondoCoop,MedianListingPrice_DuplexTriplex,MedianListingPrice_SingleFamilyResidence,MedianPctOfPriceReduction_AllHomes,MedianPctOfPriceReduction_CondoCoop,MedianPctOfPriceReduction_SingleFamilyResidence,MedianPriceCutDollar_AllHomes,MedianPriceCutDollar_CondoCoop,MedianPriceCutDollar_SingleFamilyResidence,MedianRentalPricePerSqft_1Bedroom,MedianRentalPricePerSqft_2Bedroom,MedianRentalPricePerSqft_3Bedroom,MedianRentalPricePerSqft_4Bedroom,MedianRentalPricePerSqft_5BedroomOrMore,MedianRentalPricePerSqft_AllHomes,MedianRentalPricePerSqft_CondoCoop,MedianRentalPricePerSqft_DuplexTriplex,MedianRentalPricePerSqft_MultiFamilyResidence5PlusUnits,MedianRentalPricePerSqft_SingleFamilyResidence,MedianRentalPricePerSqft_Studio,MedianRentalPrice_1Bedroom,MedianRentalPrice_2Bedroom,MedianRentalPrice_3Bedroom,MedianRentalPrice_4Bedroom,MedianRentalPrice_5BedroomOrMore,MedianRentalPrice_AllHomes,MedianRentalPrice_CondoCoop,MedianRentalPrice_DuplexTriplex,MedianRentalPrice_MultiFamilyResidence5PlusUnits,MedianRentalPrice_SingleFamilyResidence,MedianRentalPrice_Studio,ZHVIPerSqft_AllHomes,PctOfHomesDecreasingInValues_AllHomes,PctOfHomesIncreasingInValues_AllHomes,PctOfHomesSellingForGain_AllHomes,PctOfHomesSellingForLoss_AllHomes,PctOfListingsWithPriceReductionsSeasAdj_AllHomes,PctOfListingsWithPriceReductionsSeasAdj_CondoCoop,PctOfListingsWithPriceReductionsSeasAdj_SingleFamilyResidence,PctOfListingsWithPriceReductions_AllHomes,PctOfListingsWithPriceReductions_CondoCoop,PctOfListingsWithPriceReductions_SingleFamilyResidence,PriceToRentRatio_AllHomes,Sale_Counts,Sale_Counts_Seas_Adj,Sale_Prices,ZHVI_1bedroom,ZHVI_2bedroom,ZHVI_3bedroom,ZHVI_4bedroom,ZHVI_5BedroomOrMore,ZHVI_AllHomes,ZHVI_BottomTier,ZHVI_CondoCoop,ZHVI_MiddleTier,ZHVI_SingleFamilyResidence,ZHVI_TopTier,ZRI_AllHomes,ZRI_AllHomesPlusMultifamily,ZriPerSqft_AllHomes,Zri_MultiFamilyResidenceRental,Zri_SingleFamilyResidenceRental
2010-01-31,Georgia,152,93675,88378,157.461868308967,97.4426807760141,89.1355788708338,96.3748153471474,110.942576390324,94.3037974683544,121.92118226601,,93.3137146286295,,,,229900,375000,,149900,,,,,,,,,,,,,,0.715309153279786,,,,0.684956090535896,,,,,,,1037.5,,,,1062,,78,67.15,25.88,,,,,,,,,,7482,11228,,113300,96800,124500,211900,320700,135200,78900,132900,135200,135400,255100,,,,,
2010-01-31,Hawaii,161,6217,6034,528.455284552846,421.715452688904,371.004566210046,336.932700987796,310.571240971766,397.286821705426,473.831775700935,308.314525888856,362.8759043176,299000,378500,510000,650000,,489000,349000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,356,70.64,19.91,,,,,,,,,,803,1132,,277900,345700,447500,591900,710100,440600,243800,322900,440600,538200,738600,,,,,
2010-01-31,Louisiana,146.5,16734,15691,,97.9205859676176,98.3789876802392,108.090698273641,106.911500449236,103.517448083922,,77.9513888888889,102.729218555417,,,153900,254900,358900,172900,,,174500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85,,,,,,,,,,,,1901,2821,144900,,,126900,,326500,,75000,,,,224100,,,,,
2010-01-31,Maine,157,14200,12425,183.076923076923,144.33696780893,124.138161360522,115.68287037037,92.6744186046512,130.718954248366,163.397869674185,67.5636515848077,127.923976608187,149450,163500,196000,249000,265000,209900,219700,159900,209000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,137,66.79,27.05,,,,,,,,,,,,,150400,165000,193600,242400,302000,179100,116100,178300,179100,179400,302900,,,,,
2010-01-31,Maryland,173,33789,30997,,189.838556505223,153.80859375,159.092297021624,,170.32967032967,,,169.270833333333,,190000,,,,245000,,230000,249900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,168,73.21,17.64,,,,,,,,,,5322,6123,235700,168500,192600,236300,349200,483000,253000,156100,218900,253000,264100,437200,,,,,
2010-01-31,Massachusetts,145,37803,31014,284.615384615385,203.467331534547,192.785133565621,191.610495930343,157.091561938959,201.87054631829,215.617647058824,102.985638251287,198.784722222222,189900,224900,270000,399000,,289900,250000,249900,299900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,190,45.24,38.53,,,,,,,,,,3254,5605,280400,200000,232000,288800,410600,564300,297200,187200,238300,297200,308200,503400,,,,,
2010-01-31,Michigan,136,84406,77608,,82.1375186846039,88.6654478976234,97.2523499638467,109.421364985163,86.1963137843284,88.3993271221532,58.187863674148,85.9460583377889,,84900,,199900,299900,,115000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70,75.36,19.9,,,,,,,,,,10557,12045,,68300,74800,106700,184200,202800,99200,52900,117800,99200,97700,179800,,,,,
2010-01-31,Minnesota,152,31701,27246,158.06684981685,123.903400892037,122.034489617375,127.878123299009,136.935093718338,129.434523809524,,96.1045204795205,129.573170731707,,,159900,219900,305000,169900,,144450,171335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,135,66.77,25.59,,,,,,,,,,3541,5963,,112100,143600,176300,227500,294200,169700,106000,144300,169700,173500,286300,,,,,
2010-01-31,Mississippi,148,13549,12710,,90.6668628461486,89.2857142857143,95.1724137931034,94.5,90.447571704456,,65.7894736842105,90,,98000,139900,230000,328500,154800,,,153850,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74,,,,,,,,,,,,861,1594,,,,133300,228400,251100,120900,68700,,120900,120800,207600,,,,,
2010-01-31,Missouri,110,49572,43376,113.211169284468,91.6470588235294,94.9074074074074,99.0096428829536,95.1834220106413,98.0848861283644,126.304889933501,51.7860609046862,96.1032388663968,,89900,134900,229900,309000,140000,155000,,139900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,3473,6054,,85000,95700,138700,235100,283100,138000,82000,132300,138000,138500,247500,,,,,
